Pod Name,Type,Iteration,RAM,CPUS,Duration
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,5,16Gi,6,72
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,11,32Gi,8,35
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,19,16Gi,6,72
ven10-backend-67c6475b55-bh6c6,demo_75per.fastq,17,8Gi,4,73
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,15,32Gi,8,68
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,17,16Gi,6,71
ven10-backend-67c6475b55-bh6c6,demo.fastq,4,8Gi,4,89
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,15,,,
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,18,8Gi,4,76
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,16,32Gi,8,71
ven7-backend-7487fcccb9-2pmsh,demo.fastq,20,8Gi,4,92
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,6,8Gi,4,53
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,1,16Gi,6,85
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,20,16Gi,6,79
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,11,8Gi,4,39
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,1,16Gi,6,33
ven1-backend-6f6564689-gxqlf,demo.fastq,2,8Gi,4,88
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,7,16Gi,6,83
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,17,16Gi,6,86
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,6,8Gi,4,71
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,20,32Gi,8,67
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,2,32Gi,8,30
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,17,16Gi,6,28
ven8-backend-c8f9bf456-xcgxp,demo.fastq,5,16Gi,6,89
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,5,8Gi,4,97
ven6-backend-8c4c7995c-77qf7,demo.fastq,10,32Gi,8,83
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,14,16Gi,6,72
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,17,8Gi,4,54
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,10,32Gi,8,48
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,15,32Gi,8,70
ven1-backend-6f6564689-gxqlf,demo.fastq,13,8Gi,4,89
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,13,16Gi,6,60
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,13,32Gi,8,34
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,2,32Gi,8,67
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,2,16Gi,6,56
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,18,,,
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,5,32Gi,8,46
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,12,16Gi,6,48
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,12,8Gi,4,84
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,20,8Gi,4,73
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,8,32Gi,8,69
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,20,32Gi,8,29
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,17,32Gi,8,33
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,13,8Gi,4,40
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,9,16Gi,6,49
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,8,32Gi,8,46
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,15,16Gi,6,75
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,3,8Gi,4,33
ven1-backend-6f6564689-gxqlf,demo.fastq,10,8Gi,4,104
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,12,8Gi,4,33
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,18,8Gi,4,90
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,14,32Gi,8,69
ven1-backend-6f6564689-gxqlf,demo.fastq,20,8Gi,4,90
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,19,32Gi,8,53
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,17,32Gi,8,52
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,13,8Gi,4,94
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,16,8Gi,4,32
ven4-backend-55c9bf6f8c-cvc9x,demo_50per.fastq,9,8Gi,4,53
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,4,32Gi,8,49
ven9-backend-cf779bf4c-66t8s,demo.fastq,10,32Gi,8,78
ven10-backend-67c6475b55-bh6c6,demo.fastq,12,8Gi,4,89
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,8,16Gi,6,30
ven7-backend-7487fcccb9-2pmsh,demo.fastq,11,8Gi,4,90
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,7,8Gi,4,74
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,8,8Gi,4,32
ven1-backend-6f6564689-gxqlf,demo.fastq,11,8Gi,4,89
ven10-backend-67c6475b55-bh6c6,demo_50per.fastq,19,8Gi,4,53
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,7,32Gi,8,34
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,12,16Gi,6,53
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,2,16Gi,6,52
